4146	tags/libsndfile-merge-onto-devel-branch-rel	4145	branches/devel-libsndfile-branch
4299	tags/CLAM-devel-0_6_0-pre1-rel	4298	branches/development-branch
4300	tags/CLAM-devel-0_6_0-rel	4298	branches/development-branch
4303	tags/CLAM-0_6_0-pre1-rel	4302	trunk
4304	tags/CLAM-0_6_0-rel	4302	trunk
4457	branches/CLAM-NewPorts-branch	4456	branches/development-branch
4458	branches/CLAM-NewPorts-root	4456	branches/development-branch
4459	tags/CLAM-devel-beforeNewPorts-root	4456	branches/development-branch
4639	tags/working-cuidado-examples-rel	4638	branches/development-branch
4740	tags/CLAM-devel-0_6_1-pre1-rel	4739	branches/development-branch
4747	tags/CLAM-devel-0_6_1-pre2-rel	4746	branches/development-branch
4756	tags/CLAM-devel-0_6_1-pre3-rel	4754	branches/development-branch
4758	tags/CLAM-0_6_1-pre1-rel	4757	trunk
4760	tags/CLAM-0_6_1-pre2-rel	4759	trunk
4762	tags/CLAM-devel-0_6_1-pre4-rel	4761	branches/development-branch
4764	tags/CLAM-0_6_1-pre3-rel	4763	trunk
4766	tags/CLAM-devel-0_6_1-pre5-rel	4765	branches/development-branch
4767	tags/CLAM-devel-0_6_1-rel	4765	branches/development-branch
4769	tags/CLAM-0_6_1-pre4-rel	4768	trunk
4977	tags/CLAM-pre-merge-ports-rel	4976	branches/development-branch
4980	tags/CLAM-merge-from-ports-to-devel-rel	4979	branches/CLAM-NewPorts-branch
5208	tags/CLAM-0_6_1-rel	5207	trunk
5272	branches/imosquera	5271	trunk
5275	tags/release_0_1	5274	branches/imosquera
5279	branches/binary-experiments-branch	5278	trunk
5280	tags/binary-experiments-pre-branch	5278	trunk
5753	tags/CLAM-0_7_0-pre1-rel	5752	branches/development-branch
5764	tags/CLAM-0_7_0-pre2-rel	5763	branches/development-branch
5781	tags/CLAM-0_7_0-pre3-rel	5780	branches/development-branch
5782	tags/CLAM-stable-rel	5780	branches/development-branch
5785	tags/CLAM-0_7_0-rel	5784	trunk
5803	tags/CLAM-devel-post-0_7_0-merge-rel	5802	branches/development-branch
5805	tags/CLAM-post-0_7_0-merge-rel	5804	trunk
5832	tags/before-license-insert-rel	5831	trunk
5888	tags/before-transformations-refactoring-rel	5887	trunk
6178	branches/sroig-branch	6177	trunk
6179	tags/sroig-root	6177	trunk
6180	branches/sroig2-branch	6177	trunk
6181	tags/sroig2-root	6177	trunk
6198	tags/sroig2-merged-rel	6197	branches/sroig2-branch
6448	tags/CLAM-0_8_0-pre1-rel	6447	trunk
6449	tags/CLAM-0_8_0-pre2-rel	6447	trunk
6964	tags/v0_3-rel	6963	trunk	CLAM_SMSTools
7000	tags/v0_2-rel	6999	trunk	CLAM_NetworkEditor	CLAM_Voice2MIDIr	CLAM_SMSTools <- likely by error
7011	tags/CLAM-0_8_0-rel	7010	trunk
7012	tags/stable-rel	7010	trunk
7013	tags/v0_1-rel	7010	trunk	CLAM_Annotator
7076	branches/CLAM-with-new-header-style-branch	7075	trunk
7077	tags/CLAM-with-new-header-style-root	7075	trunk
8143	branches/srcdeps-build-system-branch	8142	trunk
8144	tags/srcdeps-build-system-root	8142	trunk
8204	tags/v0_4_0-rel	8203	trunk	CLAM_SMSTools
8292	tags/v0_2_0-rel	8291	trunk	CLAM_Annotator
8306	branches/v0_2-maintenance-branch	8305	trunk	CLAM_Annotator
8307	tags/v0_2-maintenance-root	8305	trunk	CLAM_Annotator
8316	tags/CLAM-0_90_0-rel	8315	trunk
8317	tags/v0_3_0-rel	8315	trunk	CLAM_NetworkEditor
8360	tags/v0_2-lastmerge	8359	branches/v0_2-maintenance-branch	CLAM_Annotator
8364	tags/v0_2-lastmerge-rel	8363	branches/v0_2-maintenance-branch	CLAM_Annotator
8894	tags/tests-passed-on-linux-rel	8893	trunk
8917	tags/before-new-contest-transformations-rel	8916	trunk
9020	tags/v0_3_1-rel	9019	trunk	CLAM_NetworkEditor
9021	tags/v0_4_1-rel	9019	trunk	CLAM_SMSTools
9024	tags/CLAM-0_91_0-rel	9023	trunk
9059	tags/tests-passed-on-linux-candidate-rel	9058	trunk
9316	tags/v0_3_2-rel	9315	trunk	CLAM_NetworkEditor	CLAM_Annotator
